"accession","anon.name","GroupAt1_Ngrps298","GroupAt1.5_Ngrps209","GroupAt2_Ngrps165","GroupAt2.5_Ngrps132","GroupAt3_Ngrps104","GroupAt3.5_Ngrps74","GroupAt4_Ngrps60","GroupAt5_Ngrps49","GroupAt6_Ngrps42","GroupAt7_Ngrps37","GroupAt8_Ngrps29","GroupAt9_Ngrps16","GroupAt10_Ngrps16"
"Bd21","BR01A01","G170","G124","G098","G070","G062","G037","G024","G019","G016","G015","G015","G013","G013"
"Kah-5","BR01A11","G110","G083","G062","G042","G036","G018","G018","G013","G012","G011","G011","G009","G009"
"BdTR13g","BR01A12","G018","G014","G010","G010","G005","G005","G005","G005","G005","G005","G005","G005","G005"
"Adi-4","BR01B01","G078","G058","G042","G034","G029","G013","G013","G009","G009","G009","G009","G008","G008"
"BdTR1m","BR01B12","G067","G051","G038","G030","G025","G010","G010","G007","G007","G007","G007","G007","G007"
"BdTR11i","BR01C02","G185","G134","G107","G078","G067","G042","G028","G023","G019","G018","G018","G014","G014"
"Adi-1","BR01C12","G175","G127","G101","G073","G063","G038","G025","G020","G016","G015","G015","G013","G013"
"BdTR9f","BR01D01","G194","G141","G112","G083","G072","G044","G030","G025","G021","G020","G020","G014","G014"
"Kah-2","BR01E01","G166","G122","G097","G069","G062","G037","G024","G019","G016","G015","G015","G013","G013"
"Gaz-6","BR01E02","G102","G076","G059","G040","G034","G016","G016","G011","G011","G010","G010","G008","G008"
"Bd21-3","BR01E12","G172","G126","G100","G072","G063","G038","G025","G020","G016","G015","G015","G013","G013"
"BdTR5c","BR01F01","G124","G095","G071","G046","G039","G020","G019","G014","G012","G011","G011","G009","G009"
"Koz-1","BR01F02","G129","G099","G075","G050","G043","G024","G020","G015","G013","G012","G012","G010","G010"
"Adi-9","BR01F12","G010","G007","G005","G005","G004","G004","G004","G004","G004","G004","G004","G004","G004"
"Adi-15","BR01G12","G027","G021","G012","G011","G006","G006","G006","G006","G006","G006","G006","G006","G006"
"Adi-6","BR01H12","G083","G063","G047","G034","G029","G013","G013","G009","G009","G009","G009","G008","G008"
"ABR2","BR02A01","G186","G135","G108","G079","G068","G043","G029","G024","G020","G019","G019","G014","G014"
"ABR4","BR02A02","G186","G135","G108","G079","G068","G043","G029","G024","G020","G019","G019","G014","G014"
"ABR7","BR02A03","G233","G168","G132","G100","G085","G056","G042","G036","G031","G026","G026","G014","G014"
"ABR9","BR02A04","G286","G205","G162","G129","G102","G072","G058","G047","G040","G035","G029","G016","G016"
"Abz1021","BR02A05","G227","G165","G129","G097","G083","G054","G040","G034","G029","G025","G025","G014","G014"
"Adi-1","BR02A06","G084","G064","G048","G035","G030","G014","G014","G009","G009","G009","G009","G008","G008"
"Adi-2","BR02A07","G089","G067","G051","G038","G032","G015","G015","G010","G010","G010","G010","G008","G008"
"Adi-3","BR02A08","G100","G075","G058","G039","G033","G015","G015","G010","G010","G010","G010","G008","G008"
"Adi-6","BR02A09","G012","G009","G007","G007","G005","G005","G005","G005","G005","G005","G005","G005","G005"
"Adi-7","BR02A10","G099","G074","G058","G039","G033","G015","G015","G010","G010","G010","G010","G008","G008"
"Adi-8","BR02A11","G108","G081","G062","G042","G036","G018","G018","G013","G012","G011","G011","G009","G009"
"Adi-9","BR02A12","G010","G007","G005","G005","G004","G004","G004","G004","G004","G004","G004","G004","G004"
"Adi-10","BR02B01","G006","G005","G003","G003","G003","G003","G003","G003","G003","G003","G003","G003","G003"
