"","sample","species.id","accession","well.name","species.jared","species.readnum"
"1","BR04A03","distachyon","Arn1","ARN1","hybridum","distachyon"
"2","BR06A01","distachyon","CFWA-1","CFWA-1","hybridum","distachyon"
"3","BR06A05","hybridum","Kah-3","KAH-3","distachyon","hybridum"
"4","BR06D05","hybridum","Bsta24-2","Bsta24-2","stacei","hybridum"
"5","BR06D06","hybridum","ABR114","ABR114-1","stacei","hybridum"
"6","BR06D09","hybridum","Bd1-1","BD1-1","distachyon","hybridum"
"7","BR06E04","stacei","BRO1-1","BRO1-1","hybridum","stacei"
"8","BR06E09","distachyon","CFW-3","CFW-3","hybridum","distachyon"
"9","BR06F11","hybridum","WLE1-1","WLE-1","distachyon","hybridum"
"10","BR10F04","distachyon","Bd1-1","Bd1-1.6","hybridum","distachyon"
"11","BR10G12","distachyon","Bd1-1","Bd1-1.6","hybridum","distachyon"
"12","BR11A02","hybridum","Ald2-1","Ald2-1","distachyon","hybridum"
"13","BR11B02","hybridum","Ald2-2","Ald2-2","distachyon","hybridum"
"14","BR11B03","distachyon","Ald3-2","Ald3-2","hybridum","distachyon"
"15","BR11E02","hybridum","Ald2-5","Ald2-5","distachyon","hybridum"
"16","BR11E03","distachyon","Ald3-5","Ald3-5","hybridum","distachyon"
"17","BR11F02","hybridum","Ald2-6","Ald2-6","distachyon","hybridum"
"18","BR11F03","distachyon","Ald3-6","Ald3-6","hybridum","distachyon"
"19","BR11F11","hybridum","Fac-6","Fac-6","distachyon","hybridum"
"20","BR11F12","distachyon","Fls1-6","Fls1-6","hybridum","distachyon"
"21","BR11G02","hybridum","Ald2-7","Ald2-7","distachyon","hybridum"
"22","BR11G03","distachyon","Ald3-7","Ald3-7","hybridum","distachyon"
"23","BR11G11","hybridum","Fac-7","Fac-7","distachyon","hybridum"
"24","BR11G12","distachyon","Fls1-7","Fls1-7","hybridum","distachyon"
"25","BR11H02","hybridum","Ald2-8","Ald2-8","distachyon","hybridum"
"26","BR11H03","distachyon","Ald3-8","Ald3-8","hybridum","distachyon"
"27","BR12H06","hybridum","Leo4-8","Leo4-8","distachyon","hybridum"
"28","BR12H07","distachyon","Lph1-8","Lph1-8","hybridum","distachyon"
"29","BR13G03","hybridum","Rei-7","Rei-7","distachyon","hybridum"
"30","BR15A10","distachyon","Bd3-1","Bd3-1","hybridum","distachyon"
"31","BR15F06","hybridum","PYR2-6","PYR2-6","distachyon","hybridum"
"32","BR18A01","distachyon","Bdis25-11","Bdis25-11_s","hybridum","distachyon"
"33","BR18A02","distachyon","BdTR5o","BdTR5o_s","hybridum","distachyon"
"34","BR18D09","hybridum","Bdis05-14","Bdis05-14_s","distachyon","hybridum"
"35","BR20G02","hybridum","Bdis05-16","Bdis05-16_s","distachyon","hybridum"
"36","BR27A09","stacei","BRA-355","BRA-355","hybridum","stacei"
"37","BR27B01","hybridum","BRA-422","BRA-422","distachyon","hybridum"
"38","BR27B04","hybridum","BdTR1g","BdTR1g","distachyon","hybridum"
"39","BR27B09","hybridum","BRA-404","BRA-404","stacei","hybridum"
"40","BR27B10","stacei","BRA-191","BRA-191","hybridum","stacei"
"41","BR27C05","hybridum","BRA-194","BRA-194","distachyon","hybridum"
"42","BR27C06","distachyon","BRA-417","BRA-417","hybridum","distachyon"
"43","BR27C10","hybridum","BRA-385","BRA-385","stacei","hybridum"
"44","BR27C11","stacei","BRA-370","BRA-370","hybridum","stacei"
"45","BR27D01","hybridum","BRA-403","BRA-403","stacei","hybridum"
"46","BR27D02","stacei","BRA-55","BRA-55","hybridum","stacei"
"47","BR27D10","hybridum","BRA-330","BRA-330","stacei","hybridum"
"48","BR27D12","stacei","BRA-94","BRA-94","hybridum","stacei"
"49","BR27E02","hybridum","BRA-245","BRA-245","stacei","hybridum"
"50","BR27E04","stacei","BRA-5","BRA-5","hybridum","stacei"
"51","BR27E08","hybridum","BRA-334","BRA-334","distachyon","hybridum"
"52","BR27E09","distachyon","BRA-322","BRA-322","hybridum","distachyon"
"53","BR27F01","stacei","BRA-1","BRA-1","hybridum","stacei"
"54","BR27F12","hybridum","BRA-243","BRA-243","stacei","hybridum"
"55","BR27G01","hybridum","BRA-12","BRA-12","stacei","hybridum"
"56","BR27G02","stacei","BRA-100","BRA-100","hybridum","stacei"
"57","BR27G09","hybridum","BRA-245","BRA-245","stacei","hybridum"
"58","BR27G10","hybridum","BRA-337","BRA-337","stacei","hybridum"
"59","BR27G12","stacei","BRA-53","BRA-53","hybridum","stacei"
"60","BR27H04","stacei","BRA-102","BRA-102","hybridum","stacei"
"61","BR27H06","stacei","BRA-103","BRA-103","hybridum","stacei"
"62","BR27H09","hybridum","BRA-11","BRA-11","stacei","hybridum"
"63","BR27H11","stacei","BRA-98","BRA-98","hybridum","stacei"
"64","BR28A05","stacei","BRA-369","BRA-369","hybridum","stacei"
"65","BR28B02","hybridum","BRA-360","BRA-360","stacei","hybridum"
"66","BR28B03","stacei","BRA-183","BRA-183","hybridum","stacei"
"67","BR28C04","stacei","BRA-89","BRA-89","hybridum","stacei"
"68","BR28C05","stacei","BRA-91","BRA-91","hybridum","stacei"
"69","BR28C06","hybridum","BRA-85","BRA-85","stacei","hybridum"
"70","BR28D08","hybridum","BRA-265","BRA-265","stacei","hybridum"
"71","BR28D09","stacei","BRA-406","BRA-406","hybridum","stacei"
"72","BR28E05","hybridum","BRA-209","BRA-209","distachyon","hybridum"
"73","BR28E07","distachyon","BRA-416","BRA-416","hybridum","distachyon"
"74","BR28H03","hybridum","BRA-216","BRA-216","stacei","hybridum"
"75","BR28H05","stacei","BRA-353","BRA-353","hybridum","stacei"
"76","BR28H10","hybridum","BRA-381","BRA-381","stacei","hybridum"
"77","BR28H12","stacei","BRA-373","BRA-373","hybridum","stacei"
"78","BR29A02","distachyon","BRA-418","BRA-418","hybridum","distachyon"
"79","BR29A07","stacei","BRA-185","BRA-185","hybridum","stacei"
"80","BR29A09","stacei","BRA-286","BRA-286","hybridum","stacei"
"81","BR29B04","hybridum","BRA-125","BRA-125","stacei","hybridum"
"82","BR29B05","stacei","BRA-186","BRA-186","hybridum","stacei"
